utm_easting,utm_northing,elevation
412615.03180391685,6239523.039390015,-31.15622176470588
403609.28644956613,6235882.951972003,-33.34921564705882
423328.0746208238,6236266.146550217,-26.09663292857143
416395.495327095,6252765.811596667,-26.174747846153846
417846.49458263034,6252612.573817685,-26.731588538461537
408746.4202503908,6238726.31525735,-32.247338400000004
422505.6706784186,6244147.830481498,-26.643435352941175
402282.0457046489,6234045.22055515,-32.73361221428571
401551.5285276063,6233334.617182042,-32.376391133333335
410872.53420322837,6240492.7848120285,-31.33609407142857
419840.7114235254,6257344.77560082,-25.125128066666665
409961.05636171286,6233512.453780086,-32.269114466666664
425565.48730293295,6253977.734115152,-28.393299266666666
414926.7827107938,6245247.687033779,-29.0813440625
424941.4947165261,6258431.803734942,-26.60397425
412765.5215778409,6234845.9414076535,-31.388571000000002
423889.9803338239,6232876.503952964,-25.258857000000003
416713.72804033925,6241733.135970054,-29.446578733333336
422389.9563331879,6234203.980772555,-26.3366718125
408266.04309583124,6243423.378273823,-31.268480846153846
418803.42091539473,6245080.802912436,-27.858275428571428
422010.82216926216,6259127.785705291,-25.935757785714287
422787.50724151067,6254359.848315022,-28.260468133333333
419041.929940599,6242624.293238247,-28.282878928571428
417499.260873155,6243723.483696644,-28.594130411764706
424709.5060048046,6237749.103364738,-25.485564214285713
414293.6143726308,6235170.639499248,-30.937445375
416327.34634399676,6237920.058137434,-30.65123211111111
407141.66441243864,6237871.789266513,-32.81800675
423506.3889260217,6243113.298045757,-26.13995733333333
421210.4602130591,6253715.738601245,-27.6052649375
421829.8277218374,6256325.711887461,-26.613676666666667
406871.6063736565,6240277.016513713,-32.3331610625
408185.2908264081,6234645.287208133,-32.9223905
419518.02928746486,6250261.093975043,-27.804132461538465
415643.05452566285,6246249.902520673,-28.61806717647059
424187.7645251091,6247840.327475297,-27.10331246666667
421073.3532215682,6245579.4386430755,-27.28420882352941
405384.40126847563,6234181.185885658,-33.789491
418741.5339696577,6238214.840436052,-29.661256055555555
419087.9405959436,6240745.105774382,-28.8542025625
416791.27192929434,6249952.082958919,-27.704280647058823
423800.0329191004,6260753.67391061,-26.17601952631579
416538.5527220132,6240468.597856675,-29.870468333333335
