latitude,longitude,elevation,value_count,cdi_index,utm_x,utm_y,utm_easting,utm_northing
55.46822917,7.871354167,-6.593112,4.0,2288.0,425834.987,6148682.51,428647.0165571645,6147476.496261678
55.46822917,7.872395833,-6.6183596,4.0,2288.0,425900.821,6148681.4,428712.867641402,6147475.427989612
55.46822917,7.8734375,-6.640543,4.0,2288.0,425966.654,6148680.29,428778.71879726567,6147474.360703042
55.46822917,7.874479167,-6.6589975,4.0,2288.0,426032.488,6148679.181,428844.56996152794,6147473.294402992
55.46822917,7.875520833,-6.673164,4.0,2288.0,426098.321,6148678.074,428910.4210709662,6147472.229090484
55.46822917,7.8765625,-6.683175,4.0,2288.0,426164.154,6148676.967,428976.2722520056,6147471.164763473
55.46822917,7.877604167,-6.6892953,4.0,2288.0,426229.988,6148675.862,429042.1234414219,6147470.101422982
55.46822917,7.878645833,-6.69044,4.0,2288.0,426295.821,6148674.757,429107.97457599075,6147469.03907003
55.46822917,7.8796875,-6.686996,4.0,2288.0,426361.655,6148673.653,429173.8257821376,6147467.977702576
55.46822917,7.880729167,-6.6811566,4.0,2288.0,426427.488,6148672.551,429239.6769966396,6147466.91732164
55.46822917,7.881770833,-6.6786227,4.0,2288.0,426493.322,6148671.449,429305.52815626754,6147465.85792824
55.46822917,7.8828125,-6.6906276,4.0,2288.0,426559.155,6148670.348,429371.3793874534,6147464.79952034
55.46822917,7.883854167,-6.7493315,4.0,2288.0,426624.989,6148669.249,429437.23062696785,6147463.742098958
55.46822917,7.884895833,-6.855546,4.0,2288.0,426690.822,6148668.15,429503.08181158814,6147462.685665106
55.46822917,7.8859375,-6.97986,4.0,2288.0,426756.656,6148667.052,429568.93306773977,6147461.630216758
55.46822917,7.886979167,-7.113405,4.0,2288.0,426822.489,6148665.956,429634.7843321983,6147460.575754926
55.46927083,7.7953125,-6.114067,4.0,2288.0,426888.323,6148664.86,423841.91564496147,6147673.05949122
55.46927083,7.796354167,-6.0647135,4.0,2288.0,426954.156,6148663.765,423907.7644210292,6147671.919217019
55.46927083,7.797395833,-6.0073013,4.0,2288.0,427019.99,6148662.671,423973.61314285896,6147670.779930444
55.46927083,7.7984375,-5.942267,4.0,2288.0,427085.823,6148661.578,424039.4619368715,6147669.641629307
55.46927083,7.799479167,-5.8707175,4.0,2288.0,427151.657,6148660.487,424105.3107398464,6147668.504314701
55.46927083,7.800520833,-5.793419,4.0,2288.0,427217.49,6148659.396,424171.15948855836,6147667.367987717
55.46927083,7.8015625,-5.7111187,4.0,2288.0,427283.324,6148658.306,424237.0083094298,6147666.23264617
55.46927083,7.802604167,-5.6245055,4.0,2288.0,427349.158,6148657.217,424302.8571392387,6147665.098291156
55.46927083,7.803645833,-5.5342283,4.0,2288.0,427414.991,6148656.129,424368.70591476286,6147663.964923758
